k,fort_isoles,fort_complet,fort_anneau,med_isoles,med_complet,med_anneau,faible_isoles,faible_complet,faible_anneau,fort_gain_isoles,fort_gain_complet,fort_gain_anneau,med_gain_isoles,med_gain_complet,med_gain_anneau,faible_gain_isoles,faible_gain_complet,faible_gain_anneau
90,0.0233561987,0.0038629229,0.0038554512,0.0200398839,0.0019058958,0.0019899310,0.0197033898,0.0016095961,0.0016949153,8.237847,1.362472,1.359837,31.017603,2.949933,3.080002,65.677966,5.365320,5.649718
91,0.0235491012,0.0038573360,0.0038489276,0.0202221908,0.0019035541,0.0019865639,0.0198857868,0.0016077538,0.0016920474,8.305885,1.360502,1.357536,31.299776,2.946309,3.074791,66.285956,5.359179,5.640158
92,0.0237413520,0.0038517485,0.0038424261,0.0204038817,0.0019012023,0.0019832082,0.0200675676,0.0016058997,0.0016891892,8.373693,1.358531,1.355243,31.580996,2.942669,3.069597,66.891892,5.352999,5.630631
93,0.0239329544,0.0038461611,0.0038359464,0.0205849599,0.0018988409,0.0019798639,0.0202487352,0.0016040345,0.0016863406,8.441272,1.356560,1.352957,31.861268,2.939014,3.064420,67.495784,5.346782,5.621135
94,0.0241239117,0.0038405743,0.0038294886,0.0207654284,0.0018964705,0.0019765308,0.0204292929,0.0016021586,0.0016835017,8.508624,1.354590,1.350680,32.140596,2.935345,3.059262,68.097643,5.340529,5.611672
95,0.0243142271,0.0038349886,0.0038230525,0.0209452902,0.0018940917,0.0019732089,0.0206092437,0.0016002727,0.0016806723,8.575749,1.352620,1.348410,32.418985,2.931663,3.054120,68.697479,5.334242,5.602241
96,0.0245039039,0.0038294047,0.0038166380,0.0211245485,0.0018917051,0.0019698981,0.0207885906,0.0015983772,0.0016778523,8.642649,1.350650,1.346147,32.696440,2.927969,3.048996,69.295302,5.327924,5.592841
97,0.0246929452,0.0038238229,0.0038102449,0.0213032063,0.0018893110,0.0019665984,0.0209673367,0.0015964728,0.0016750419,8.709325,1.348681,1.343892,32.972965,2.924263,3.043888,69.891122,5.321576,5.583473
98,0.0248813520,0.0038182437,0.0038038733,0.0214812665,0.0018869100,0.0019633098,0.0211454849,0.0015945598,0.0016722408,8.775777,1.346714,1.341645,33.248566,2.920547,3.038798,70.484950,5.315199,5.574136
99,0.0250691320,0.0038126676,0.0037975229,0.0216587322,0.0018845026,0.0019600322,0.0213230384,0.0015926388,0.0016694491,8.842008,1.344747,1.339405,33.523246,2.916821,3.033725,71.076795,5.308796,5.564830
100,0.0252562861,0.0038070950,0.0037911937,0.0218356064,0.0018820891,0.0019567655,0.0215000000,0.0015907102,0.0016666667,8.908018,1.342781,1.337173,33.797011,2.913085,3.028669,71.666667,5.302367,5.555556
