fichier,n,m,alpha,k,type_cible,page_cible,rank_initial,pagerank_initial,type_attaque,pagerank_apres,augmentation,ratio,iterations
Harvard500.txt,500,2636,0.850000,57,faible,494,500,0.000300000000000,anneau,0.001795259790782,0.001495259790782,5.984199,101
Harvard500.txt,500,2636,0.850000,58,forte,7,1,0.103639770584333,isoles,0.117113326388676,0.013473555804344,1.130004,93
Harvard500.txt,500,2636,0.850000,58,forte,7,1,0.103639770584333,complet,0.095406041646498,-0.008233728937835,0.920554,99
Harvard500.txt,500,2636,0.850000,58,forte,7,1,0.103639770584333,anneau,0.089469988481908,-0.014169782102425,0.863279,111
Harvard500.txt,500,2636,0.850000,58,moyenne,14,251,0.000646080989108,isoles,0.013861053820485,0.013214972831377,21.454050,93
Harvard500.txt,500,2636,0.850000,58,moyenne,14,251,0.000646080989108,complet,0.001969724384688,0.001323643395580,3.048727,100
Harvard500.txt,500,2636,0.850000,58,moyenne,14,251,0.000646080989108,anneau,0.002103974182525,0.001457893193417,3.256518,102
Harvard500.txt,500,2636,0.850000,58,faible,494,500,0.000300000000000,isoles,0.013521505376344,0.013221505376344,45.071685,93
Harvard500.txt,500,2636,0.850000,58,faible,494,500,0.000300000000000,complet,0.001656533246244,0.001356533246244,5.521777,99
Harvard500.txt,500,2636,0.850000,58,faible,494,500,0.000300000000000,anneau,0.001792053311731,0.001492053311731,5.973511,101
Harvard500.txt,500,2636,0.850000,59,forte,7,1,0.103639770584333,isoles,0.117321110544578,0.013681339960245,1.132009,93
Harvard500.txt,500,2636,0.850000,59,forte,7,1,0.103639770584333,complet,0.095239197903135,-0.008400572681198,0.918945,99
Harvard500.txt,500,2636,0.850000,59,forte,7,1,0.103639770584333,anneau,0.089309835423447,-0.014329935160886,0.861733,111
Harvard500.txt,500,2636,0.850000,59,moyenne,14,251,0.000646080989108,isoles,0.014064850206139,0.013418769217031,21.769485,93
Harvard500.txt,500,2636,0.850000,59,moyenne,14,251,0.000646080989108,complet,0.001968298246417,0.001322217257309,3.046519,100
Harvard500.txt,500,2636,0.850000,59,moyenne,14,251,0.000646080989108,anneau,0.002100221569456,0.001454140580349,3.250709,102
Harvard500.txt,500,2636,0.850000,59,faible,494,500,0.000300000000000,isoles,0.013725402504472,0.013425402504472,45.751342,93
