fichier,n,m,alpha,k,type_cible,page_cible,rank_initial,pagerank_initial,type_attaque,pagerank_apres,augmentation,ratio,iterations,temps_sec
data/Harvard500.txt,500,2636,0.500000,35,moyenne,162,251,0.001250000000000,isoles,0.017523364485981,0.016273364485981,14.018692,24,0.0000
data/Harvard500.txt,500,2636,0.500000,35,moyenne,162,251,0.001250000000000,complet,0.002076843199110,0.000826843199110,1.661475,25,0.0010
data/Harvard500.txt,500,2636,0.500000,35,moyenne,162,251,0.001250000000000,anneau,0.002102803738318,0.000852803738318,1.682243,25,0.0000
data/Harvard500.txt,500,2636,0.500000,35,faible,494,500,0.001000000000000,isoles,0.017289719626168,0.016289719626168,17.289720,23,0.0000
data/Harvard500.txt,500,2636,0.500000,35,faible,494,500,0.001000000000000,complet,0.001843198339297,0.000843198339297,1.843198,25,0.0010
data/Harvard500.txt,500,2636,0.500000,35,faible,494,500,0.001000000000000,anneau,0.001869158878505,0.000869158878505,1.869159,25,0.0000
data/Harvard500.txt,500,2636,0.500000,37,forte,7,1,0.056366027506781,isoles,0.071921420657054,0.015555393150272,1.275971,23,0.0000
data/Harvard500.txt,500,2636,0.500000,37,forte,7,1,0.056366027506781,complet,0.053505444516560,-0.002860582990221,0.949250,25,0.0010
data/Harvard500.txt,500,2636,0.500000,37,forte,7,1,0.056366027506781,anneau,0.052965841925097,-0.003400185581684,0.939677,26,0.0000
data/Harvard500.txt,500,2636,0.500000,37,moyenne,162,251,0.001250000000000,isoles,0.018389199255121,0.017139199255121,14.711359,24,0.0000
data/Harvard500.txt,500,2636,0.500000,37,moyenne,162,251,0.001250000000000,complet,0.002070469470520,0.000820469470520,1.656376,25,0.0010
data/Harvard500.txt,500,2636,0.500000,37,moyenne,162,251,0.001250000000000,anneau,0.002094972067039,0.000844972067039,1.675978,25,0.0000
data/Harvard500.txt,500,2636,0.500000,37,faible,494,500,0.001000000000000,isoles,0.018156424581006,0.017156424581006,18.156425,24,0.0000
data/Harvard500.txt,500,2636,0.500000,37,faible,494,500,0.001000000000000,complet,0.001837694796405,0.000837694796405,1.837695,25,0.0000
data/Harvard500.txt,500,2636,0.500000,37,faible,494,500,0.001000000000000,anneau,0.001862197392924,0.000862197392924,1.862197,25,0.0020
data/Harvard500.txt,500,2636,0.500000,39,forte,7,1,0.056366027506781,isoles,0.072701413293746,0.016335385786965,1.289809,23,0.0000
data/Harvard500.txt,500,2636,0.500000,39,forte,7,1,0.056366027506781,complet,0.053308285994813,-0.003057741511968,0.945752,25,0.0010
data/Harvard500.txt,500,2636,0.500000,39,forte,7,1,0.056366027506781,anneau,0.052769308188826,-0.003596719317955,0.936190,26,0.0000
data/Harvard500.txt,500,2636,0.500000,39,moyenne,162,251,0.001250000000000,isoles,0.019248608534323,0.017998608534323,15.398887,24,0.0000
data/Harvard500.txt,500,2636,0.500000,39,moyenne,162,251,0.001250000000000,complet,0.002064007421891,0.000814007421891,1.651206,25,0.0010
data/Harvard500.txt,500,2636,0.500000,39,moyenne,162,251,0.001250000000000,anneau,0.002087198515770,0.000837198515770,1.669759,25,0.0000
data/Harvard500.txt,500,2636,0.500000,39,faible,494,500,0.001000000000000,isoles,0.019016697588126,0.018016697588126,19.016698,24,0.0000
data/Harvard500.txt,500,2636,0.500000,39,faible,494,500,0.001000000000000,complet,0.001832096475695,0.000832096475695,1.832096,25,0.0000
data/Harvard500.txt,500,2636,0.500000,39,faible,494,500,0.001000000000000,anneau,0.001855287569573,0.000855287569573,1.855288,25,0.0010
data/Harvard500.txt,500,2636,0.500000,41,forte,7,1,0.056366027506781,isoles,0.073475638886914,0.017109611380133,1.303545,23,0.0000
data/Harvard500.txt,500,2636,0.500000,41,forte,7,1,0.056366027506781,complet,0.053112454506262,-0.003253573000520,0.942278,25,0.0000
data/Harvard500.txt,500,2636,0.500000,41,forte,7,1,0.056366027506781,anneau,0.052574227567056,-0.003791799939726,0.932729,26,0.0010
data/Harvard500.txt,500,2636,0.500000,41,moyenne,162,251,0.001250000000000,isoles,0.020101663585952,0.018851663585952,16.081331,24,0.0000
